reldist	count	total	fraction
0.00	19	731	0.026
0.01	10	731	0.014
0.02	14	731	0.019
0.03	10	731	0.014
0.04	13	731	0.018
0.05	16	731	0.022
0.06	11	731	0.015
0.07	22	731	0.030
0.08	13	731	0.018
0.09	11	731	0.015
0.10	15	731	0.021
0.11	13	731	0.018
0.12	18	731	0.025
0.13	13	731	0.018
0.14	15	731	0.021
0.15	18	731	0.025
0.16	17	731	0.023
0.17	17	731	0.023
0.18	20	731	0.027
0.19	7	731	0.010
0.20	14	731	0.019
0.21	15	731	0.021
0.22	18	731	0.025
0.23	14	731	0.019
0.24	14	731	0.019
0.25	8	731	0.011
0.26	13	731	0.018
0.27	9	731	0.012
0.28	13	731	0.018
0.29	13	731	0.018
0.30	12	731	0.016
0.31	25	731	0.034
0.32	17	731	0.023
0.33	12	731	0.016
0.34	14	731	0.019
0.35	14	731	0.019
0.36	17	731	0.023
0.37	16	731	0.022
0.38	10	731	0.014
0.39	12	731	0.016
0.40	19	731	0.026
0.41	20	731	0.027
0.42	18	731	0.025
0.43	10	731	0.014
0.44	14	731	0.019
0.45	22	731	0.030
0.46	14	731	0.019
0.47	11	731	0.015
0.48	12	731	0.016
0.49	17	731	0.023
0.50	2	731	0.003
