reldist	count	total	fraction
0.00	11486	88815	0.129
0.01	3782	88815	0.043
0.02	2472	88815	0.028
0.03	2232	88815	0.025
0.04	1903	88815	0.021
0.05	1894	88815	0.021
0.06	1634	88815	0.018
0.07	1809	88815	0.020
0.08	1965	88815	0.022
0.09	1478	88815	0.017
0.10	1534	88815	0.017
0.11	1361	88815	0.015
0.12	1498	88815	0.017
0.13	1544	88815	0.017
0.14	1490	88815	0.017
0.15	1423	88815	0.016
0.16	1755	88815	0.020
0.17	1673	88815	0.019
0.18	1428	88815	0.016
0.19	1681	88815	0.019
0.20	1369	88815	0.015
0.21	1362	88815	0.015
0.22	1434	88815	0.016
0.23	1514	88815	0.017
0.24	1598	88815	0.018
0.25	1423	88815	0.016
0.26	1474	88815	0.017
0.27	1475	88815	0.017
0.28	1320	88815	0.015
0.29	1335	88815	0.015
0.30	1534	88815	0.017
0.31	1467	88815	0.017
0.32	1428	88815	0.016
0.33	1762	88815	0.020
0.34	1432	88815	0.016
0.35	1556	88815	0.018
0.36	1604	88815	0.018
0.37	1660	88815	0.019
0.38	1380	88815	0.016
0.39	1318	88815	0.015
0.40	1222	88815	0.014
0.41	1205	88815	0.014
0.42	1523	88815	0.017
0.43	1339	88815	0.015
0.44	1402	88815	0.016
0.45	1315	88815	0.015
0.46	1092	88815	0.012
0.47	1339	88815	0.015
0.48	1442	88815	0.016
0.49	1446	88815	0.016
0.50	3	88815	0.000
